MMSI,BaseDateTime,LAT,LON,SOG,COG,Heading,VesselName,IMO,CallSign,VesselType,Status,Length,Width,Draft,Cargo,TransceiverClass
"367314490",2020-01-01T00:35:52,"39.48762","-75.94211","7.6","225.3","211",SCHUYLKILL,,WDD9655,"31","12","21","8",,,A
"367314490",2020-01-01T00:34:42,"39.48935","-75.93985","7.6","224.3","212",SCHUYLKILL,,WDD9655,"31","12","21","8",,,A
"367314490",2020-01-01T01:15:33,"39.43225","-76.01042","6.9","223.5","212",SCHUYLKILL,,WDD9655,"31","12","21","8",,,A
"367314490",2020-01-01T01:14:22,"39.43389","-76.00842","6.9","223.9","211",SCHUYLKILL,,WDD9655,"31","12","21","8",,,A
"367314490",2020-01-01T01:13:13,"39.43545","-76.00645","6.9","225.5","213",SCHUYLKILL,,WDD9655,"31","12","21","8",,,A
"367314490",2020-01-01T01:11:52,"39.43733","-76.00414","6.8","224.1","212",SCHUYLKILL,,WDD9655,"31","12","21","8",,,A
"367314490",2020-01-01T00:49:22,"39.46918","-75.96701","6.9","224.4","213",SCHUYLKILL,,WDD9655,"31","12","21","8",,,A
"367314490",2020-01-01T01:21:12,"39.42404","-76.01985","7","221","209",SCHUYLKILL,,WDD9655,"31","12","21","8",,,A
"367314490",2020-01-01T01:18:33,"39.42796","-76.01545","7","220.8","209",SCHUYLKILL,,WDD9655,"31","12","21","8",,,A
"367314490",2020-01-01T01:17:22,"39.42966","-76.01356","7","222","209",SCHUYLKILL,,WDD9655,"31","12","21","8",,,A
"367314490",2020-01-01T00:11:52,"39.51353","-75.88918","7.5","232.2","222",SCHUYLKILL,,WDD9655,"31","12","21","8",,,A
"367314490",2020-01-01T01:03:23,"39.44911","-75.99025","6.8","222","209",SCHUYLKILL,,WDD9655,"31","12","21","8",,,A
"367314490",2020-01-01T01:00:03,"39.45394","-75.98508","6.8","219.9","209",SCHUYLKILL,,WDD9655,"31","12","21","8",,,A
"367314490",2020-01-01T01:02:22,"39.45054","-75.98869","6.8","219.1","208",SCHUYLKILL,,WDD9655,"31","12","21","8",,,A
"367314490",2020-01-01T00:36:53,"39.48614","-75.94402","7.5","226","213",SCHUYLKILL,,WDD9655,"31","12","21","8",,,A
"367314490",2020-01-01T01:10:42,"39.43889","-76.00214","6.8","224.1","213",SCHUYLKILL,,WDD9655,"31","12","21","8",,,A
"367314490",2020-01-01T01:05:55,"39.44551","-75.99428","6.8","219.3","211",SCHUYLKILL,,WDD9655,"31","12","21","8",,,A
"367314490",2020-01-01T01:04:42,"39.44725","-75.99242","6.7","221.1","208",SCHUYLKILL,,WDD9655,"31","12","21","8",,,A
"367314490",2020-01-01T00:17:23,"39.50846","-75.90228","7.3","252.7","243",SCHUYLKILL,,WDD9655,"31","12","21","8",,,A
"367314490",2020-01-01T00:15:53,"39.50952","-75.89862","7.5","248.9","236",SCHUYLKILL,,WDD9655,"31","12","21","8",,,A
"367314490",2020-01-01T00:13:03,"39.51214","-75.8918","7.5","238.1","229",SCHUYLKILL,,WDD9655,"31","12","21","8",,,A
"367314490",2020-01-01T00:10:22,"39.51552","-75.88591","7.8","230.6","219",SCHUYLKILL,,WDD9655,"31","12","21","8",,,A
"367314490",2020-01-01T00:24:27,"39.50399","-75.91998","7.3","236.6","218",SCHUYLKILL,,WDD9655,"31","12","21","8",,,A
"367314490",2020-01-01T00:22:03,"39.50619","-75.91434","7.5","255.1","235",SCHUYLKILL,,WDD9655,"31","12","21","8",,,A
"367314490",2020-01-01T00:20:23,"39.50706","-75.90997","7.4","257.3","242",SCHUYLKILL,,WDD9655,"31","12","21","8",,,A
"367314490",2020-01-01T00:14:13,"39.51098","-75.89457","7.5","242.3","230",SCHUYLKILL,,WDD9655,"31","12","21","8",,,A
"367314490",2020-01-01T00:05:42,"39.5222","-75.87603","7.6","228.8","216",SCHUYLKILL,,WDD9655,"31","12","21","8",,,A
"367314490",2020-01-01T00:02:12,"39.52699","-75.8686","7.8","236.3","220",SCHUYLKILL,,WDD9655,"31","12","21","8",,,A
"367314490",2020-01-01T00:03:23,"39.52543","-75.87125","7.8","230.7","215",SCHUYLKILL,,WDD9655,"31","12","21","8",,,A
"367314490",2020-01-01T00:01:03,"39.52834","-75.86598","7.6","234.5","221",SCHUYLKILL,,WDD9655,"31","12","21","8",,,A
"367314490",2020-01-01T00:06:52,"39.52059","-75.87845","7.8","228.9","215",SCHUYLKILL,,WDD9655,"31","12","21","8",,,A
"367314490",2020-01-01T00:09:13,"39.51711","-75.88348","7.9","228.1","216",SCHUYLKILL,,WDD9655,"31","12","21","8",,,A
"367314490",2020-01-01T00:08:03,"39.51884","-75.88097","7.9","229.1","216",SCHUYLKILL,,WDD9655,"31","12","21","8",,,A
"367314490",2020-01-01T00:04:33,"39.52379","-75.87366","7.6","230.3","216",SCHUYLKILL,,WDD9655,"31","12","21","8",,,A
"367314490",2020-01-01T02:49:33,"39.33728","-76.18486","6.4","222.2","210",SCHUYLKILL,,WDD9655,"31","12","21","8",,,A
"367314490",2020-01-01T01:24:42,"39.41898","-76.02569","7","222.6","211",SCHUYLKILL,,WDD9655,"31","12","21","8",,,A
"367314490",2020-01-01T01:22:13,"39.42255","-76.02151","7","221.1","211",SCHUYLKILL,,WDD9655,"31","12","21","8",,,A
"367314490",2020-01-01T00:27:03,"39.50046","-75.92502","7.5","227.2","213",SCHUYLKILL,,WDD9655,"31","12","21","8",,,A
"367314490",2020-01-01T02:53:23,"39.33218","-76.1904","6.1","224.4","214",SCHUYLKILL,,WDD9655,"31","12","21","8",,,A
"367314490",2020-01-01T02:54:33,"39.33072","-76.19219","6.1","222.1","212",SCHUYLKILL,,WDD9655,"31","12","21","8",,,A
"367314490",2020-01-01T01:27:02,"39.41557","-76.02966","7.1","223","211",SCHUYLKILL,,WDD9655,"31","12","21","8",,,A
"367314490",2020-01-01T02:52:13,"39.33369","-76.18874","6.2","220.2","210",SCHUYLKILL,,WDD9655,"31","12","21","8",,,A
"367314490",2020-01-01T02:33:42,"39.35274","-76.15606","6.1","238.4","227",SCHUYLKILL,,WDD9655,"31","12","21","8",,,A
"367314490",2020-01-01T02:34:43,"39.35188","-76.15793","6.1","239","226",SCHUYLKILL,,WDD9655,"31","12","21","8",,,A
"367314490",2020-01-01T02:31:02,"39.3551","-76.15116","6","236.1","224",SCHUYLKILL,,WDD9655,"31","12","21","8",,,A
"367314490",2020-01-01T02:29:02,"39.35694","-76.14758","6.1","235.9","224",SCHUYLKILL,,WDD9655,"31","12","21","8",,,A
"367314490",2020-01-01T02:43:33,"39.34389","-76.17453","6.1","238.6","226",SCHUYLKILL,,WDD9655,"31","12","21","8",,,A
"367314490",2020-01-01T02:40:33,"39.3466","-76.16894","6.2","236.7","226",SCHUYLKILL,,WDD9655,"31","12","21","8",,,A
"367314490",2020-01-01T02:38:22,"39.34859","-76.16481","6.2","237.4","227",SCHUYLKILL,,WDD9655,"31","12","21","8",,,A
"367314490",2020-01-01T02:32:33,"39.35375","-76.15395","6","240.4","226",SCHUYLKILL,,WDD9655,"31","12","21","8",,,A
"367314490",2020-01-01T03:12:45,"39.30455","-76.21347","6.1","203.1","190",SCHUYLKILL,,WDD9655,"31","12","21","8",,,A
"367314490",2020-01-01T03:11:23,"39.3067","-76.21228","6.1","206.3","193",SCHUYLKILL,,WDD9655,"31","12","21","8",,,A
"367314490",2020-01-01T03:10:22,"39.30824","-76.21122","6.1","209.2","197",SCHUYLKILL,,WDD9655,"31","12","21","8",,,A
"367314490",2020-01-01T03:09:03,"39.31017","-76.20987","6.1","207.2","196",SCHUYLKILL,,WDD9655,"31","12","21","8",,,A
"367314490",2020-01-01T03:19:46,"39.29444","-76.21731","4.5","199.8","189",SCHUYLKILL,,WDD9655,"31","12","21","8",,,A
"367314490",2020-01-01T03:18:36,"39.29588","-76.21676","4.8","194.5","187",SCHUYLKILL,,WDD9655,"31","12","21","8",,,A
"367314490",2020-01-01T03:16:02,"39.29941","-76.21543","5.4","194.7","187",SCHUYLKILL,,WDD9655,"31","12","21","8",,,A
"367314490",2020-01-01T00:29:42,"39.49662","-75.93018","7.4","226","214",SCHUYLKILL,,WDD9655,"31","12","21","8",,,A
"367314490",2020-01-01T02:59:06,"39.3252","-76.19918","6.2","216.3","197",SCHUYLKILL,,WDD9655,"31","12","21","8",,,A
"367314490",2020-01-01T02:58:03,"39.32654","-76.19756","6.2","224.7","212",SCHUYLKILL,,WDD9655,"31","12","21","8",,,A
"367314490",2020-01-01T02:55:43,"39.32932","-76.19394","6.1","226.3","212",SCHUYLKILL,,WDD9655,"31","12","21","8",,,A
